@@,item,name,party,constituency,psid
---,Q47516261,Abshiro Soka Halake,Q1422517,,Q47516261-A5A94F85-991E-4D0C-81A8-4C0D7147BAB4
->,Q47514853,Adan Dullo Fatuma,Q7141057->Q27963537,Q1499046,Q47514853-807535FD-6903-488F-BB60-1D123692D6B0
---,Q47516280,Agnes Philomena Zani,,,Q47516280-A5F87E60-2F3E-45C7-ABA2-93E01287804A
---,Q47516271,Alice Chepkorir Milgo,Q27963537,,Q47516271-DF406A7D-10C9-44F5-905A-95698C676FC7
->,Q4747966,Amos Wako,Q1640905->Q30589468,Q1017519,Q4747966-249CB87B-A14E-4D4A-A75A-6E237D64EF2B
---,Q47516268,Beatrice Kwamboka Makori,Q1640905,,Q47516268-EA0C9290-B39E-43F1-ADD7-0AC4BC4CDF8E
->,Q47514837->Q88808420,Ben Oluoch Okello->Ochilo Ayacko,Q1640905->Q30589468,Q429955,Q47514837-26184409-2FAF-4ECB-9BC8-2DCC19F561F7
---,Q4897658,Beth Wambui Mugo,Q27963537,,Q4897658-64E9053E-EAFF-4077-8242-40BC87885CD8
->,Q47514903,Boniface Mutinda Kabaka,Q5069325->Q30589468,Q1882639,Q47514903-87B62F40-EC35-4377-8301-07E6E1734C8D
->,Q47514874,Boy Issa Juma,Q1640905->Q30589468,Q952571,Q47514874-93B09DA9-0037-4E77-A9C4-76EF1E0FBF3B
->,Q47514851,Charles Kibiru,Q327591->Q27963537,Q2230311,Q47514851-B8679DBA-F9D1-4D89-95BA-6762FFEFC525
---,Q47516259,Christine Zawadi Gona,,,Q47516259-34972615-CD50-4A5B-BF68-4A8230F88BE0
->,Q47514910,Cleophas Malala,Q47489380->Q30589468,Q1721867,Q47514910-3990CF06-A19C-4C50-84AD-5CBF5D28A59B
->,Q47514898,Enock Wambua,Q5251223->Q30589468,Q1722597,Q47514898-C21942E5-D235-41D0-8952-F56323F8B316
---,Q47516262,Falhada Dekow Iman,Q27963537,,Q47516262-1AE43F87-C6F0-4C31-8F43-C6F67937648A
---,Q47516260,Farhiya Ali Haji,Q27963537,,Q47516260-8BBC4901-2529-4C39-89BD-88E5E9B4C348
->,Q5498498,Frederick Outa Otieno,Q1640905->Q30589468,Q1743809,Q5498498-89B9C6E5-5FC9-4788-8305-15F5CCD28D7D
---,Q47516263,Getrude Musuruve Inimah,Q1640905,,Q47516263-6A2B2202-B740-483B-8CE3-2FA4D258C6C7
->,Q11249433,Gideon Moi,Q1422517->Q27963537,Q808201,Q11249433-F5D151A2-6867-46B5-87B1-3639CC03D385
---,Q20744564,Isaac Mwaura,,,Q20744564-0C593930-51E3-40FC-9B39-DA444D499C90
->,Q47514877,Johnes Mwashushe Mwaruma,Q1640905->Q30589468,Q7193788,Q47514877-F7579B6B-E21A-481F-A876-37F60C7B7C56
---,Q47516276,Judith Ramaita Pareno,,,Q47516276-FBEF8655-8890-4DB1-BC9A-B9C08322E6A7
->,Q28131389,Kennedy Mong'are Okong'o,Q1640905->Q30589468,Q1569613,Q28131389-560034DB-0CAB-4C3D-AADD-706BBEAA10D8
->,Q47514883,Malachy Charles Ekal Imana,Q1640905->Q30589468,Q1633078,Q47514883-95E86402-70C7-4778-9741-18F363611FF9
---,Q47516278,Mary Yiane Seneta,Q27963537,,Q47516278-8BAB31CC-F432-400E-BFB9-E30C1EE1D865
---,Q47516257,Mercy Chebeni,Q1640905,,Q47516257-B3A5C827-69EC-4B1E-ACE7-324FBF30F730
---,Q47516275,Millicent Omanga,,,Q47516275-8F86B767-4730-410B-98A2-E591F36FD93D
->,Q1030776,Mohamed Yusuf Haji->Abdulkadir Haji,Q27963537,Q1494292,Q1030776-65C78795-F1DA-499B-8FFC-2ACA21BDE908
->,Q27893074,Moses Otieno Kajwang,Q1640905->Q30589468,Q1625834,Q27893074-67C784AD-4A9E-4A39-8339-AFE968289085
->,Q58188,Moses Wetangula,Q5473121->Q30589468,Q2928204,Q58188-2BFF6FBA-A5BD-4F41-91AE-FFBC65B7243D
->,Q47514909,"Mutula Kilonzo, Jr.",Q5251223->Q30589468,Q473717,Q47514909-5971B773-DDFF-43FA-8872-DAFA183AE8D8
---,Q47516279,Naomi Jilo Waqo,Q27963537,,Q47516279-A145A760-31CD-4E08-AC43-3C49C7339CF5
---,Q47516269,Naomi Shiyonga Masitsa,Q1640905,,Q47516269-CDE1EBCE-3297-4DEA-B58B-8D8CB9FB63B0
->,Q7086213,Olekina Ledama,Q1640905->Q30589468,Q1852220,Q7086213-52195439-0190-4506-83C6-B88388F0B136
---,Q47516267,Petronila Were Lokorio,,,Q47516267-26DBCF6E-ECE2-472C-8436-83DD13EDA9BE
---,Q47516274,Rose Ogendo Nyamunga,Q1640905,,Q47516274-EC8C58C8-662C-47FB-99D7-DFA7A80D520C
->,Q4705081,Sam Ongeri,Q1640905->Q30589468,Q1743730,Q4705081-50B45E23-7220-4ED3-8DFE-6AE85B5F8F5F
->,Q16734594,Samuel Poghisio,Q1422517->Q27963537,Q590860,Q16734594-37422BA5-CBCB-46D3-B0EF-FFBEB38C0B65
---,Q47514798,Sitswila Amos Wako,Q1640905,Q1017519,Q47514798-D402A5E9-5ADE-454F-999E-99C427FD91F2
->,Q47514905,Stewart Madzayo,Q1640905->Q30589468,Q1741307,Q47514905-9821F299-9138-40A5-8888-BF1D90CC3DB5
---,Q47516265,Sylvia Mueni Kasanga,Q5251223,,Q47516265-6659EE51-831D-44BA-8129-12A4B99583BC
---,Q47516277,Victor Prengei,Q27963537,,Q47516277-5D97E5AB-B5B4-4A22-A238-221776FF3EAC
