item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,sourceDate,psid
Q47490037,Anab Mohamed Gure,Q27963537,Jubilee Party of Kenya,Q1494292,Garissa County,2017-08-31,,,Q47490037-B4158279-698B-4A7D-B350-6CDCBD84533C
Q47494383,Andrew Adipo Okuome,Q1640905,ODM,Q6367802,Karachuonyo Constituency,2017-08-31,,,Q47494383-54BCA820-3B75-48AA-A659-C2A9E24D3F2A
Q47494827,Andrew MWADIMA,Q1640905,ODM,Q6944699,Mwatate Constituency,2017-08-31,,2022-04-06,Q47494827-A715C1B4-8A21-4993-AAE4-C65D02D87A5A
Q47494304,Annie Wanjiku Kibeh,Q27963537,Jubilee Party of Kenya,Q5527547,Gatundu North Constituency,2017-08-31,,,Q47494304-6B0BAFBD-ED09-456B-9747-F0C6E4810F72
Q47494813,Anthony Githiaka Kiai,Q27963537,Jubilee Party of Kenya,Q6933680,Mukurweini Constituency,2017-08-31,,,Q47494813-0EF929E3-938A-4D3F-8BC6-D2405CE37A40
Q47494431,Anthony Kimani Ichung'wah,Q27963537,Jubilee Party of Kenya,Q6406448,Kikuyu Constituency,2017-08-31,,2022-04-06,Q47494431-54705FFD-691C-413C-A8D6-34A4F6A7AD52
Q47494761,Anthony Tom Oluoch,Q1640905,ODM,Q47462553,Mathare Constituency,2017-08-31,,,Q47494761-F046FE83-DC01-4339-8954-F9C80F681540
Q60332262,Asha Hussein Mohamed,Q1640905,ODM,Q1112885,Mombasa County,2017-08-31,,,Q60332262-C2B0DB96-8D7A-416B-AFB8-4F94E2F1D4F8
Q47493900,Athanas Misiko Wafula Wamunyinyi,Q5473121,Forum for the Restoration of Democracy – Kenya,Q6361679,Kanduyi Constituency,2017-08-31,,,Q47493900-B962BFEB-DBF7-4ABD-8D9C-04DD5B373C9E
Q47494687,Ayub Savula Angatia,Q47489380,Amani National Congress,Q6699735,Lugari Constituency,2017-08-31,,,Q47494687-924B26A0-0361-4FCB-B2DD-5B4D1A96C518
Q47494255,Babu Owino,Q1640905,ODM,Q47463497,Embakasi East Constituency,2017-08-31,,2022-04-06,Q47494255-3C83EB8C-AEBE-4F70-9587-6FADAC994A86
Q47493964,Bady Twalib Bady,Q1640905,ODM,Q47463376,Jomvu Constituency,2017-08-31,,,Q47493964-F97D674D-19B5-48EF-991F-DA8F6D070B6A
Q47494725,Bashir S. ABDULLAH,Q27963537,Jubilee Party of Kenya,Q47463414,Mandera North Constituency,2017-08-31,,2022-04-06,Q47494725-3A099178-8527-41AA-A24E-94FC7E6A6B26
Q47490079,Beatrice Adagala,Q47489380,Amani National Congress,Q1313202,Vihiga County,2017-08-31,,2022-04-06,Q47490079-DE37E736-F939-4694-9B2A-840FE3D399F4
Q47490074,Beatrice Nkatha Nyaga,Q27963537,Jubilee Party of Kenya,Q2189432,Tharaka Nithi County,2017-08-31,,,Q47490074-F01E0B00-3340-43C7-AD11-26C8E6A73020
Q47494199,Beatrice Pauline Cherono Kones,Q27963537,Jubilee Party of Kenya,Q47463456,Bomet East Constituency,2017-08-31,,,Q47494199-37035FFE-76DC-43A0-B3D5-D289A488C04E
Q47493961,Ben George Orori Momanyi,Q5251223,WDM-K,Q47463490,Borabu Constituency,2017-08-31,,,Q47493961-0D9973D3-5C74-4A64-BFC6-5A865CEC16EC
Q47494323,Benard Masaka Shinali,Q27963537,Jubilee Party of Kenya,Q5996095,Ikolomani Constituency,2013-08-31,,,Q47494323-560925E2-30A0-401B-97CB-1C0DAA2CEA52
Q85837193,Benard Otieno Okoth,Q1640905,ODM,Q22080473,Kibra Constituency,2017-08-31,,,Q85837193-2e9b0e19-23a1-4451-9b06-0e16ec3e94c4
Q47494464,Benjamin Dalu Stephen Tayari,Q1640905,ODM,Q6410376,Kinango Constituency,2017-08-31,,,Q47494464-A29E66E2-EFFC-4259-B0FA-AE9BC8959254
Q47494250,Benjamin Gathiru Mwangi,Q27963537,Jubilee Party of Kenya,Q47463496,Embakasi Central Constituency,2017-08-31,,,Q47494250-9F150E99-1FE5-4565-B2FD-4F5ADDFA5D45
Q4888887,Benjamin Jomo Washiali,Q27963537,Jubilee Party of Kenya,Q47463462,Mumias East Constituency,2017-08-31,,,Q4888887-075DF075-6A84-43E3-80D1-E52F70040866
Q47494484,Benson Makali Mulu,Q5251223,WDM-K,Q10981053,Kitui Central Constituency,2017-08-31,,,Q47494484-D239C384-6D5B-45F3-8BE4-F928DA6E6291
Q4723395,Bernard Alfred Wekesa Sambu,Q47489380,Amani National Congress,Q47463465,Webuye East Constituency,2017-08-31,,2022-04-06,Q4723395-7C9CFCE9-10F8-402A-A454-AA7DF10E1A54
Q6122859,CHARLES KANYI NJAGUA,Q27963537,Jubilee Party of Kenya,Q7601801,Starehe Constituency,2017-08-31,,2022-04-06,Q6122859-be484b4d-4850-4e52-36a0-371c59009b23
Q47494971,Caleb Amisi Luyai,Q1640905,ODM,Q7396314,Saboti Constituency,2017-08-31,,,Q47494971-BD42464A-2431-4C6E-9B31-565EF5F2EFC5
Q47495070,Caleb Kipkemei Kositany,Q27963537,Jubilee Party of Kenya,Q47463435,Soy Constituency,2017-08-31,,,Q47495070-EA805989-9CD8-4BD6-8552-8ABB26601540
Q47490030,Catherine Nanjala Wambilianga,Q5473121,Forum for the Restoration of Democracy – Kenya,Q2928204,Bungoma County,2017-08-31,,,Q47490030-B8E56A9D-0ABB-4375-854F-71451222C60E
Q47490051,Catherine Wanjiku Waruguru,Q27963537,Jubilee Party of Kenya,Q1800699,Laikipia County,2017-08-31,,,Q47490051-B60A7B53-316C-4167-976D-AE9C20C076B7
Q5056517,Cecily Mutitu Mbarire,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q5056517-02B1CA5E-0ABB-49ED-B5EB-65C9BFFBA5A6
Q47494866,Charity Kathambi Chepkwony,Q27963537,Jubilee Party of Kenya,Q47463446,Njoro Constituency,2017-08-31,,,Q47494866-8CCB0245-C016-4A01-9C64-47E9D400DE0A
Q47493925,Charles Gumini Gimose,Q5473121,Forum for the Restoration of Democracy – Kenya,Q5645412,Hamisi Constituency,2017-08-31,,,Q47493925-8EE38BE1-1FE8-4739-8A00-BCEE4BEA8F90
Q111180002,Charles Kamuren,Q27963537,Jubilee Party of Kenya,Q47463444,Baringo South Constituency,2018-08,,,Q111180002-B873B5B2-05C5-4624-AB34-2487A3349150
Q5079790,Charles Kilonzo,Q327591,IND,Q8050290,Yatta Constituency,2017-08-31,,,Q5079790-E9524742-EE99-4000-A5EC-CE2E8207984E
Q47494778,Charles Muriuki Njagagua,Q27963537,Jubilee Party of Kenya,Q14475849,Mbeere North Constituency,2017-08-31,,,Q47494778-1DBA8902-D667-426D-8768-B8D6E04DAB48
Q47494840,Charles Ngusya Nguna,Q5251223,WDM-K,Q47463419,Mwingi West Constituency,2017-08-31,,,Q47494840-09076CDF-AA6B-4D4B-9DA4-4D87F4755A74
Q47494389,Charles Ong’ondo Were,Q1640905,ODM,Q47463474,Kasipul Constituency,2017-08-31,,2022-04-06,Q47494389-EAD3A0C6-853D-41A0-80BB-5623A07A123A
Q47490061,Chelule Liza,Q27963537,Jubilee Party of Kenya,Q1852202,Nakuru County,2017-08-31,,2022-04-06,Q47490061-E65B74C8-33D4-4131-886E-C92A75D7572A
Q47495165,Chris Karan,Q1640905,ODM,Q7877730,Ugenya Constituency,2017-08-31,2019,2022-04-06,Q47495165-F5060D3B-D219-4B49-9C51-702403EE9EBE
Q47494460,Chrisantus Wamalwa Wakhungu,Q5473121,Forum for the Restoration of Democracy – Kenya,Q47463434,Kiminini Constituency,2017-08-31,,,Q47494460-BBD4B719-8054-4E6D-AE76-9F89A5FBBB86
Q47490071,Christine Ombaka Oduor,Q1640905,ODM,Q3482913,Siaya County,2017-08-31,,2022-04-06,Q47490071-2D877FE7-5256-4523-8C45-9620BCA88B5E
Q47494400,Christopher Aseka Wangaya,Q47489380,Amani National Congress,Q6403457,Khwisero Constituency,2017-08-31,,,Q47494400-FAEBA03D-6522-4CD8-ACF1-0E09122A1AFB
Q47495156,Christopher Doye Nakuleu,Q27963537,Jubilee Party of Kenya,Q7855019,Turkana North Constituency,2017-08-31,,,Q47495156-249DC25A-256A-4D04-8995-4B8A6F0192D8
Q47493956,Christopher Omulele,Q1640905,ODM,Q47463463,Luanda Constituency,2017-08-31,,,Q47493956-D2E227D9-2499-49BC-BB74-FF594428095C
Q47494365,Clement Muturi Kigano,Q27963537,Jubilee Party of Kenya,Q6362689,Kangema Constituency,2017-08-31,,,Q47494365-8844CBFD-78DA-43FA-8E5A-C95BCD7C87B4
Q47493985,Cornelly Serem,Q27963537,Jubilee Party of Kenya,Q4713420,Aldai Constituency,2017-08-31,,,Q47493985-536937D1-1F00-48EF-8734-FC87A58AB6E3
Q47494314,Cyprian Kubai Iringo,Q27963537,Jubilee Party of Kenya,Q47463415,Igembe Central Constituency,2017-08-31,,,Q47494314-42EA75F9-49F3-4366-AA6F-01A048A79023
Q47495163,Daniel Epuyo Nanok,Q27963537,Jubilee Party of Kenya,Q47463428,Turkana West Constituency,2017-08-31,,,Q47495163-1B40D832-1A40-464F-952A-335E74F20429
Q47494789,Daniel Kamuren Tuitoek,Q27963537,Jubilee Party of Kenya,Q6890697,Mogotio Constituency,2017-08-31,,,Q47494789-B6ED4970-A103-4E21-AD64-256886F0EFAC
Q47494399,Daniel Kipkogei Rono,Q27963537,Jubilee Party of Kenya,Q17088491,Keiyo South Constituency,2017-08-31,,,Q47494399-62CB32F1-3ACE-4253-B71F-2BDE95098783
Q47494709,Daniel Kitonga Maanzo,Q5251223,WDM-K,Q6740441,Makueni Constituency,2017-08-31,,,Q47494709-CDD0E1DD-DDDB-446F-9DFB-800A5C26D0CF
Q47495190,Daniel Wanyama Sitati,Q27963537,Jubilee Party of Kenya,Q47463466,Webuye West Constituency,2017-08-31,,,Q47495190-ADDA285B-3EF3-4ED2-9FC9-F821AC29DB7C
Q47495195,Danson Mwashako Mwakuwona,Q5251223,WDM-K,Q8039242,Wundanyi Constituency,2017-08-31,,,Q47495195-2E7855A2-E6A9-40BD-85CB-3543C0435264
Q5233422,David Eseli Simiyu,Q5473121,Forum for the Restoration of Democracy – Kenya,Q47463467,Tongaren Constituency,2013-08-31,,,Q5233422-475B3EED-D151-4CAC-BFE8-5735771E2FFB
Q47493905,David Gikaria,Q27963537,Jubilee Party of Kenya,Q47463452,Nakuru Town East Constituency,2017-08-31,,,Q47493905-2FC72B60-B5B2-444C-AEAE-5B6E9603D0CC
Q47494744,David Kangogo Bowen,Q27963537,Jubilee Party of Kenya,Q6754698,Marakwet East Constituency,2017-08-31,,,Q47494744-BB509FCF-C652-46C1-81F0-38810D9DCD49
Q47494925,David Losiakou Pkosing,Q27963537,Jubilee Party of Kenya,Q47462472,Pokot South Constituency,2017-08-31,,,Q47494925-3DD0EAB9-163D-45CA-8DF3-9B969F253978
Q47494493,David Mwalika Mboni,Q5069325,CCU,Q47462466,Kitui Rural Constituency,2017-08-31,,,Q47494493-E7002968-A284-425A-BB65-56EF8E7C9496
Q47493935,David Njuguna Kiaraho,Q27963537,Jubilee Party of Kenya,Q7082829,Ol Kalou Constituency,2017-08-31,,,Q47493935-0E0B68F4-7C04-46E0-8E1C-599AC96634DD
Q111180007,David Ole Sankok,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q111180007-4EE08827-68D3-4F39-AEBB-C26C7A2A0374
Q111179918,David Ouma Ochieng,Q111179653,MDG,Q7877730,Ugenya Constituency,2019,,2022-04-06,Q111179918-2630AABC-A105-4BCD-8F5A-999CD2A66AE6
Q98118573,Dennitah Ghati,Q1640905,ODM,,,2017-08-31,,,Q98118573-4DB65D6E-1AB4-488C-90EB-816A030BBD7E
Q47494446,Didmus Wekesa Barasa Mutua,Q27963537,Jubilee Party of Kenya,Q6410137,Kimilili Constituency,2017-08-31,,,Q47494446-11A54472-01D0-47D3-9A42-4366FA71606B
Q15733971,Dido Ali RASO,Q27963537,Jubilee Party of Kenya,Q7403129,Saku Constituency,2017-08-31,,2022-04-06,Q15733971-34173274-3566-41FE-9EA9-38596A826C3F
Q47495034,Dominic Kipkoech Koskei,Q27963537,Jubilee Party of Kenya,Q7563993,Sotik Constituency,2017-08-31,,,Q47495034-661C167C-EDBA-4A91-805C-22B71EF3AE10
Q47493913,Dr. Korei LEMEIN,Q27963537,Jubilee Party of Kenya,Q6966109,Narok South Constituency,2017-08-31,,2022-04-06,Q47493913-71AC8079-6539-4E61-A34E-0068A9A073C7
Q47494933,Dr. Otiende Amollo,Q1640905,ODM,Q7294558,Rarieda Constituency,2017-08-31,,2022-04-06,Q47494933-6E75EC7C-A31D-4B4A-835D-2DDF51DAE0D3
Q47494280,Dr. Wilberforce Ojiambo Oundo,Q1640905,ODM,Q5509429,Funyula Constituency,2017-08-31,,2022-04-06,Q47494280-C5D27C35-B7D6-472E-9BB9-43FB1142EA66
Q47495159,EKOMWA LOMENEN JAMES,Q27963537,Jubilee Party of Kenya,Q7855020,Turkana South Constituency,2017-08-31,,2022-04-06,Q47495159-D9FE95D6-173C-4B37-B32E-FE8DFE7591B7
Q46190459,Edith Vethi Nyenze,Q5251223,WDM-K,Q6418638,Kitui West Constituency,2017-08-31,2017-12-06,2022-04-06,Q46190459-C83DE5EB-221D-46AA-A4BE-9C679A90C1C4
Q47495116,Edward Oku Kaunya,Q47489380,Amani National Congress,Q47463468,Teso North Constituency,2017-08-31,,,Q47495116-A0171849-1A4E-4D15-A11C-4E72783CF411
Q47494347,Elijah Memusi Kanchory,Q1640905,ODM,Q6348981,Kajiado Central Constituency,2017-08-31,,,Q47494347-7509B322-216C-413E-8A89-473F817535A9
Q47494306,Elisha Ochieng Odhiambo,Q1640905,ODM,Q5530554,Gem Constituency,2017-08-31,,,Q47494306-575812EB-2C92-428C-9C91-1F703AB9368C
Q47490042,Elsie Busihile Muhanda,Q1640905,ODM,Q1721867,Kakamega County,2017-08-31,,,Q47490042-906BA383-9F64-4871-B807-6AB7549DC102
Q47494859,Emmanuel Wangwe,Q27963537,Jubilee Party of Kenya,Q47463460,Navakholo Constituency,2017-08-31,,,Q47494859-F2C636C7-33E4-49B0-B181-265E27A11766
Q47494669,Enoch Wamalwa Kibunguchy,Q5473121,Forum for the Restoration of Democracy – Kenya,Q47463458,Likuyani Constituency,2017-08-31,,,Q47494669-81C84187-EFCA-462C-BD3D-82C0BBCFB99C
Q47494784,Erastus Kivasu Nzioka,Q47490108,New Democrats,Q6799757,Mbooni Constituency,2017-08-31,,,Q47494784-6040F990-5DF1-4373-A228-C0FAA1F86BCA
Q47494968,Eric Muchangi Njiru,Q27963537,Jubilee Party of Kenya,Q7380154,Runyenjes Constituency,2017-08-31,,,Q47494968-2676A7E6-3005-4738-842E-89486412E41C
Q47495177,Ernest Ogesi Kivai,Q47489380,Amani National Congress,Q7929042,Vihiga Constituency,2017-08-31,,,Q47495177-B28301C2-B43E-4E79-A490-B2C0D9568A1D
Q24006889,Esther Muthoni Rosanna Passaris,Q1640905,ODM,Q3335223,Nairobi County,2017-08-31,,2022-04-06,Q24006889-19D0E829-D175-4793-99BF-B45EE90E05F5
Q47494338,Eve Akinyi Obara,Q1640905,ODM,Q6374553,Kasipul Kabondo Constituency,2017-08-31,,,Q47494338-DC1E3156-8C05-4019-9B26-34A8DF320F2B
Q47494886,Ezekiel Machogu Ombaki,Q47492879,National Agenda Party of Kenya,Q7070904,Nyaribari Masaba Constituency,2017-08-31,,,Q47494886-D0086515-03F1-460B-92DD-A08A6FDE3B71
Q47494373,Fabian Kyule Muli,Q22666185,Muungano Party,Q13123144,Kangundo Constituency,2017-08-31,,,Q47494373-3C059DC5-7CF3-4114-93C8-7883929D3B69
Q47490066,Faith Wairimu Gitau,Q27963537,Jubilee Party of Kenya,Q1714352,Nyandarua County,2017-08-31,,,Q47490066-6AB246E1-BCDE-4AA5-9DF7-485417854AFA
Q17411041,Fatuma Gedi Ali,Q7141057,Party of Development and Reforms,Q1852209,Wajir County,2017-08-31,,2022-04-06,Q17411041-1CAF0C96-5B13-4666-B492-C52CBCC04654
Q47494623,Ferdinard Kevin Wanyonyi,Q5473121,Forum for the Restoration of Democracy – Kenya,Q6450207,Kwanza Constituency,2017-08-31,,,Q47494623-14A97E37-F5F3-4C6B-AE7C-3511CB47E168
Q47490043,Florence C.K. Bore,Q27963537,Jubilee Party of Kenya,Q1739252,Kericho County,2017-08-31,,2022-04-06,Q47490043-E8E9744F-F235-42E8-9F87-5B0E5039C029
Q60332243,Florence Mwikali Mutua,Q1640905,ODM,Q1017519,Busia County,2017-08-31,,,Q60332243-B5FD6963-4026-40CD-BDA7-D08811B52235
Q5480460,Francis Chachu Ganya,Q47492871,Frontier Alliance Party,Q7055666,North Horr Constituency,2017-08-31,,,Q5480460-757A0348-6ABF-41B4-9E2A-BCF102B454E1
Q47494794,Francis Kuria Kimani,Q27963537,Jubilee Party of Kenya,Q6896735,Molo Constituency,2017-08-31,,,Q47494794-2605A378-6E47-4D38-B307-19F1D65FEA7D
Q47494331,Francis Munyua Waititu,Q27963537,Jubilee Party of Kenya,Q6305268,Juja Constituency,2017-08-31,,,Q47494331-49B80125-79F0-4639-A2B4-C00686ADB251
Q47494804,Fred Kapondi Chesebe,Q27963537,Jubilee Party of Kenya,Q6930268,Mt. Elgon Constituency,2017-08-31,,,Q47494804-FE768668-5727-4925-AB3C-571C458CAF66
Q47494480,Fred Odhiambo Ouda,Q1640905,ODM,Q47463472,Kisumu Central Constituency,2017-08-31,,,Q47494480-ED783E8C-B074-4E20-B219-6BC339EA5DCC
Q47494311,Gabriel Kago Mukuha,Q27963537,Jubilee Party of Kenya,Q5565112,Githunguri Constituency,2017-08-31,,,Q47494311-6FD5649A-2D81-4318-A584-3F6EADDAE87A
Q47494858,Gabriel Koshal Tongoyo,Q47492863,Chama Cha Mashinani,Q47463453,Narok West Constituency,2017-08-31,,,Q47494858-308DB35C-E0F8-44C1-B6E8-32F780D91946
Q47490045,Gathoni Wa Muchomba,Q27963537,Jubilee Party of Kenya,Q2575594,Kiambu County,2017-08-31,,2022-04-06,Q47490045-691FE360-02C8-4502-B32B-E319CF26BA38
Q7041983,Generali Nixon Kiprotich Korir,Q27963537,Jubilee Party of Kenya,Q6485732,Langata Constituency,2017-08-31,,2022-04-06,Q7041983-CC63F562-38FD-4C1A-A3D9-60E78AB1261E
Q47494781,Geoffrey Kingagi Muturi,Q27963537,Jubilee Party of Kenya,Q5516225,Mbeere South Constituency,2017-08-31,,,Q47494781-137D25BF-2059-40CE-9028-60CC96C598AD
Q47494758,Geoffrey Makokha Odanga,Q1640905,ODM,Q24236285,Matayos Constituency,2017-08-31,,,Q47494758-956A53FB-96A7-43CA-B682-55537CB373FF
Q47495117,Geoffrey Omuse,Q1640905,ODM,Q47463470,Teso South Constituency,2017-08-31,,,Q47495117-D7D4286B-87C0-47AC-AC4E-46E4D430CAFF
Q47494704,George Aladwa Omwera,Q1640905,ODM,Q6738586,Makadara Constituency,2017-08-31,,,Q47494704-98407E7A-4262-4B3C-956E-08BFF2C9A2EA
Q47495127,George Gitonga Murugara,Q3272441,Democratic Party,Q7710732,Tharaka Constituency,2017-08-31,,,Q47495127-854991CC-B93E-4B5F-8036-C99D5FA65116
Q47494863,George Macharia Kariuki Gk,Q27963537,Jubilee Party of Kenya,Q6983741,Ndia Constituency,2017-08-31,,,Q47494863-23595A71-23F8-4EA8-8474-3A97F0548C61
Q47494313,George Peter Opondo Kaluma,Q1640905,ODM,Q47463476,Homa Bay Town Constituency,2017-08-31,,,Q47494313-6B46B4E9-1C9B-4EC5-98DF-0083D0A97698
Q47494355,George Risa Sunkuyia,Q27963537,Jubilee Party of Kenya,Q30687313,Kajiado West constituency,2017-08-31,,,Q47494355-3C0D408E-C706-4D18-B59A-0C5121A0F4CF
Q47493970,George Theuri,Q27963537,Jubilee Party of Kenya,Q47463499,Embakasi West Constituency,2017-08-31,,,Q47493970-8E51B9CE-1BB2-4512-B815-763C26B08512
Q47486849,Gertrude Mbeyu Mwanyanje,Q1640905,ODM,Q1741307,Kilifi County,2017-08-31,,,Q47486849-7D1A776C-DF87-491F-A315-B3CB5CFBE953
Q111180017,Gideon Keter,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q111180017-DCA30B26-473C-4158-A2C2-CC8FF78F559E
Q47494225,Gideon Kimutai Koske,Q47492863,Chama Cha Mashinani,Q5091695,Chepalungu Constituency,2017-08-31,,,Q47494225-D3FAC8EE-0713-49F3-9D43-3DE0626D32CC
Q47494833,Gideon Mutemi Mulyungi,Q5251223,WDM-K,Q47463420,Mwingi Central Constituency,2017-08-31,,,Q47494833-7C91F4C5-8DE7-41B7-B023-28BA929E7E56
Q47494201,Gideon Ochanda Ogolla,Q1640905,ODM,Q4941430,Bondo Constituency,2017-08-31,,,Q47494201-77BD749F-D418-45F2-861A-E97125F31F37
Q47493894,Gideon Sitelu Konchela,Q27963537,Jubilee Party of Kenya,Q6406874,Kilgoris Constituency,2017-08-31,,,Q47493894-CA7D2D2E-6A6E-4238-BACB-899A8DAD7C1B
Q47489991,Gladwell Jesire Cheruiyot,Q1422517,KANU,Q808201,Baringo County,2017-08-31,,,Q47489991-51FF9B51-BCC0-4E1D-83B6-492BD61FF154
Q47489052,Gladys Atieno Nyasuna Wanga,Q1640905,ODM,Q1625834,Homa Bay County,2017-08-31,,,Q47489052-97ADFE79-F80D-48B9-8591-B1455D5293AE
Q47490078,Gladys Boss Shollei,Q27963537,Jubilee Party of Kenya,Q1121429,Uasin Gishu County,2017-08-31,,2022-04-06,Q47490078-68EE3F0F-73B3-4676-9031-D1D95C735555
Q111180034,Godfrey Osotsi,Q47489380,Amani National Congress,,,2017-08-31,,,Q111180034-F3626156-B02E-4941-8CEF-7BAF4A49FA55
Q18217506,Grace Jelagat Kipchoim,Q27963537,Jubilee Party of Kenya,Q47463444,Baringo South Constituency,2017-08-31,2018-04-20,,Q18217506-5f1e238f-4328-d946-aee8-431420a85537
Q111179984,Halima Yussuf Mucheke,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q111179984-CE666D62-772B-4681-813E-87A1EA5E70BC
Q47494329,Hassan Oda Hulufo,Q47492848,Kenya Patriots Party,Q17088189,Isiolo North Constituency,2017-08-31,,,Q47494329-6800B536-5BB7-4E17-8CDE-27402425AD19
Q47494471,Hilary Kiplang’at Kosgei,Q27963537,Jubilee Party of Kenya,Q47463455,Kipkelion West Constituency,2017-08-31,,2022-04-06,Q47494471-8A3FB7B7-32DA-474B-9766-86439060FB27
Q47494008,Innocent Obiri,Q22666200,Peoples Democratic Party,Q4934581,Bobasi Constituency,2017-08-31,,2022-04-06,Q47494008-1D3002D6-DD73-489C-91F7-E865BEA8BE02
