item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,sourceDate,psid
Q4664992,Abdirahman Ali,Q1640905,ODM,,,2013-03-28,2017-08-07,2022-04-06,Q4664992-649CFCE1-9E4E-4078-ACFB-11F28B6BBEBB
Q4670109,Abu Chiaba,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q4670109-3C3696B8-947A-4C55-9279-A4772C2F317B
Q111188679,Agnes Zani,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q111188679-BFE4CA75-907A-439A-85CB-2E6037B236C6
Q111188680,Ali Bule,Q22666177,Federal Party of Kenya,,,2013-03-28,2017-08-07,,Q111188680-1C90B477-9509-4BAB-A67B-DBDED7244978
Q4747966,Amos Wako,Q1640905,ODM,Q1017519,Busia County,2013-03-28,,2021-12-20,Q4747966-249CB87B-A14E-4D4A-A75A-6E237D64EF2B
Q111188681,Beatrice Elachi,Q15980825,Alliance Party of Kenya,,,2013-03-28,2017-08-07,,Q111188681-BF40A60F-E56E-4775-B152-0DCFB6DE52C3
Q4897658,Beth Wambui Mugo,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q4897658-F4B33A82-AA26-497B-8925-DCBA0AA8A30D
Q96065892,Billow Kerow,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q96065892-56C82F1C-9ED4-414C-B6F8-7C3591DE1EE2
Q4942502,Bonny Khalwale,Q7887687,United Democratic Forum,,,2013-03-28,2017-08-07,,Q4942502-857A5F6A-D75D-4F4B-A424-28B50B32BF95
Q111188682,Boy Juma Boy,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q111188682-A2242DBB-51EB-46F9-843C-AA99FBAE0E8F
Q111188683,Catherine Mukite Nabwola,Q5473121,Forum for the Restoration of Democracy – Kenya,,,2013-03-28,2017-08-07,,Q111188683-B3A19924-35CF-4447-94B2-3D18FD82D8A1
Q5076212,Charles Keter,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q5076212-5050DA84-5CEC-4E38-B49C-38B7C3F72F72
Q47490061,Chelule Liza,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,2022-04-06,Q47490061-6A41B30C-7443-420F-8608-D1E6BA472270
Q5112986,Chris Obure,Q1640905,ODM,,,2013-03-28,2017-08-07,2022-04-06,Q5112986-1CED0156-C5B0-4B98-B2F4-F9B234765364
Q111188684,Dan Mwazo,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q111188684-DCCA579E-678A-4BBC-8A2A-380E39E3DB77
Q25113132,Daniel Karaba,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q25113132-14721CCD-97E0-4D73-9B75-EF337DC6DAEF
Q1175814,David Musila,Q5251223,WDM-K,,,2013-03-28,2017-08-07,,Q1175814-85923896-1E2C-470F-92C1-10E8E9B9A4C3
Q111188685,Dullo Fatuma Adam,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q111188685-8FFA3931-E1CD-4D71-9680-DF617407C7DE
Q111188686,Elizabeth Ongoro Masha,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q111188686-FF5DCB66-B056-4871-A914-80359B72D273
Q111188687,Emma Mbura Gertrude,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q111188687-C61889B8-42C5-4D5A-B487-670E02CFB773
Q5541326,George Khaniri,Q7887687,United Democratic Forum,,,2013-03-28,2017-08-07,,Q5541326-58613A72-80AC-4C0C-BAE7-A2B65D8BDDED
Q6848880,Gideon Mbuvi,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,2022-04-06,Q6848880-225F760A-1790-4741-98B0-E55239A2DEE5
Q11249433,Gideon Moi,Q1422517,KANU,,,2013-03-28,2017-08-07,,Q11249433-F4865800-C1B8-46A2-B55B-051851344976
Q47514914,Godana Hargura,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q47514914-900143AA-7C46-4799-BD36-89838FDEB145
Q5576439,Godffrey Gitahi Kariuki,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,2022-04-06,Q5576439-B93EA495-6594-4BB4-BB89-16A3427E1CDB
Q111188688,Halima Abdille Mohamud,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q111188688-B074818A-B083-4924-984D-9E1BCAC3C16E
Q111188689,Harold Kimunge Kipchumba,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q111188689-E4DB0CC7-67BC-4823-B78E-57EEDCD2C4DB
Q111188690,Hassan Omar,Q5251223,WDM-K,,,2013-03-28,2017-08-07,,Q111188690-5CB9BEB9-4DF4-4228-AF81-657AA577DBAD
Q111188691,Henry Ndiema,Q5473121,Forum for the Restoration of Democracy – Kenya,,,2013-03-28,2017-08-07,,Q111188691-F645529F-960B-430B-A9C3-F0892D151E79
Q111188692,Hosea Onchwangi,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q111188692-705E1195-9BF8-4626-9FFA-D86D7468C912
Q111188693,Isaac Melly,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q111188693-D1BA937A-85AD-41E0-8F79-5031300F46F0
Q111188694,James Kiarie Mungai,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q111188694-77CE8543-3E87-438E-83C4-4E6E1E203FE4
Q6140639,James Orengo,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q6140639-B4C9F969-D0AB-40F0-8EAA-189DD4B1A52F
Q38668434,Janet Ongera,Q1640905,ODM,,,2013-03-28,2017-08-07,2022-04-06,Q38668434-0866359C-CBFB-41C7-89C7-67A0232A9D06
Q111188695,John Lonyangapuo,Q1422517,KANU,,,2013-03-28,2017-08-07,,Q111188695-2071DCEC-B9A6-4DBC-8BE1-2AAE11FB63C9
Q6249843,John Munyes,Q5473121,Forum for the Restoration of Democracy – Kenya,,,2013-03-28,2017-08-07,,Q6249843-456AC3EF-6949-4A64-AB34-7920DAD10050
Q6268381,Johnstone Muthama,Q5251223,WDM-K,,,2013-03-28,2017-08-07,2022-04-06,Q6268381-DBB3D110-1B5E-4422-920F-9372F2E13E33
Q111188696,Joy Adhiambo Gwendo,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q111188696-7932295D-4A5B-453D-96D4-D4AEDACFF5F2
Q111188697,Judith Achieng Sijeny,Q5251223,WDM-K,,,2013-03-28,2017-08-07,,Q111188697-FAD65106-4BDC-4EFF-A5DB-E993D5186D2A
Q111188698,Kanainza Nyongesa Daisy,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q111188698-6AC32D81-C89C-4FFB-AD0C-E4A0631CC5BD
Q16866321,Kembi Gitura,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q16866321-DC3D62EE-B11C-476A-A6DB-AB4BE9658AA5
Q28131389,Kennedy Mong'are Okong'o,Q5473121,Forum for the Restoration of Democracy – Kenya,,,2013-03-28,2017-08-07,,Q28131389-4EAF8859-9C35-4A56-9F55-B20B194BB205
Q46556896,Kipchumba Murkomen,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q46556896-7598E887-FB3E-4BC6-AF0C-BB04B85213B1
Q47514805,Kithure Kindiki,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,2022-04-06,Q47514805-17FE65C8-89B9-4564-8601-18B83DF6799C
Q111188699,Lenny Kivuti,Q15980825,Alliance Party of Kenya,,,2013-03-28,2017-08-07,,Q111188699-2659026A-AC32-4E5D-AFB3-CED4F898F93B
Q111188700,Linet Kemunto Nyakeriga,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q111188700-531C37DE-E832-4A20-A4BA-E9F964D482A8
Q3295164,Martha Wangari,Q7887687,United Democratic Forum,,,2013-03-28,2017-08-07,2022-04-06,Q3295164-516E4281-D2DA-4DD6-9A9E-7A6E798A7410
Q111188701,Mithika Linturi,Q15980825,Alliance Party of Kenya,,,2013-03-28,2017-08-07,,Q111188701-ECE1E1AC-19F9-483D-A46F-51B0BEAA3A77
Q6893179,Mohammed Kuti,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q6893179-43C002FB-3B1C-4CDE-9D98-252126BAE73F
Q58188,Moses Wetangula,Q5473121,Forum for the Restoration of Democracy – Kenya,,,2013-03-28,2017-08-07,,Q58188-464FA2BA-7F09-4114-899B-1BD0EFFDEC58
Q111188702,Mshenga Mvita Kisasa,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q111188702-0EB33A76-E7BA-46AC-90A7-E9959C06484F
Q111188703,Muriuki Karue,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q111188703-3AFD93CA-1A17-446A-B8F4-055572AA127A
Q16192784,Mutahi Kagwe,Q3130920,NARC,,,2013-03-28,2017-08-07,,Q16192784-E3EEAFC2-3CFD-4916-BA3D-9B08171F698A
Q15993157,Mutula Kilonzo,Q5251223,WDM-K,,,2013-03-28,2017-08-07,,Q15993157-06AE5F2F-7327-4548-997B-C6A85D3848BF
Q33061100,Naisula Lesuuda,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q33061100-2DCCC971-652F-4F22-ABE4-E9558255E0D9
Q88808420,Ochilo George Mbogo Ayacko,Q1640905,ODM,,,2013-03-28,2017-08-07,2022-04-06,Q88808420-2B6DAB71-2D95-4E58-ABF9-C91942B94921
Q7108730,Otieno Kajwang,Q1640905,ODM,,,2013-03,2014-11-19,2022-03-10,Q7108730-4027F326-7F69-4123-9931-3FFB9A72E280
Q111188704,Paul Kimani,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q111188704-D4A80463-CA6F-4B0E-A763-E22148CD9590
Q7172546,Peter Anyang' Nyong'o,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q7172546-66B846E8-0EFC-4D6D-A5F2-F04B3B1FAC71
Q111188705,Peter Mositet,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,,Q111188705-A9B82A50-7EAD-46F1-BCDB-57BC6098747F
Q111188706,Sammy Leshore,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q111188706-C89FA473-4BFB-4AC9-8927-29C08BE9287A
Q111188707,Stephen Kanyinge ole Ntutu,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q111188707-99076273-8BC2-4AF2-8E9C-2C10531692E9
Q48472394,Stephen Sang,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q48472394-6569A2DD-C313-4C41-BB4E-694E57228712
Q47514905,Stewart Mwachiru Shadrack Madzayo,Q1640905,ODM,,,2013-03-28,2017-08-07,,Q47514905-B27A7558-634D-4C22-BF41-A7395098A86A
Q111188708,Wilson Lessan,Q7889105,United Republican Party,,,2013-03-28,2017-08-07,,Q111188708-5F7A9EAB-FDA4-481C-ADC9-83AEC34B66E9
Q1030776,Yusuf Haji,Q7193584,The National Alliance,,,2013-03-28,2017-08-07,2022-04-06,Q1030776-FD9E1C05-BF76-461D-9282-478097046C50
Q111188709,Zipporah Jepchirchir Kittony,Q1422517,KANU,,,2013-03-28,2017-08-07,,Q111188709-991C2ACD-E975-4505-999F-68AB10BA40B1
