@@,item,name,party,partylabel,constituency,constituencylabel,psid
->,Q4664971,Abdikadir Hussein Mohamed,Q7398791,Safina->SAFINA,Q6747983,Mandera Central,Q4664971-60B0E9F5-EA5D-4334-9847-184674E8CFC3
->,Q4682154,Aden Bare Duale,Q1640905,ODM,Q17085899,Garissa Township->Dujis,Q4682154-A048B6FF-FEF4-4EFD-808C-EA4CAA6C3927
->,Q4861331,Barnabas Muturi Mwangi,Q7530800,Sisi Kwa Sisi->SISI KWA SISI,Q6406003,Kiharu,Q4861331-DF9B13E5-80E4-49DE-99BA-4BB3F1D98C1D
->,Q16226678,Benson Mbai Itwiku,Q5251223,WDM-K->ODM K,Q6783288,Masinga,Q16226678-ECFA437D-5529-430C-984E-0F6270388CBC
->,Q4897658,Beth Mugo,Q2559675,PNU,Q5208646,Dagoretti South->Dagoretti,Q4897658-0D4F6F73-4C5F-4160-AEEB-870BEE86B7E4
->,Q4942502,Bonny Khalwale,,NULL->NEW FORD KENYA,Q5996095,Ikolomani,Q4942502-6D4F32D2-3E84-4281-A82B-EA1E3E994E5B
->,Q5131357,Clement Kungu Waibara,,NULL->PICK,Q5527547,Gatundu North,Q5131357-4C47230D-8DE7-498B-B7AB-CFDC5BAB552F
->,Q5201109,Cyrus Jirongo,,NULL->KADDU,Q6699735,Lugari,Q5201109-00ECEFC9-3839-47F3-A5E3-4D8511EA53D6
->,Q5218210,Daniel Muoki,Q5251223,WDM-K->ODM K,Q6944627,Mwala,Q5218210-3C8AC61C-9346-4695-ACF6-0E49CEAF77CD
->,Q5221098,Danson Mungatana,,NULL->NARC KENYA,Q5524277,Garsen,Q5221098-27A147E2-1CAA-4BC3-9B03-A147F2E89308
->,Q5233422,David Eseli Simiyu,Q5473121,Forum for the Restoration of Democracy – Kenya->FORD K,Q6410137,Kimilili,Q5233422-36F859D4-F367-4126-B65E-532E60FB976E
->,Q1175814,David Musila,Q5251223,WDM-K->ODM K,Q6944744,Mwingi South,Q1175814-5FE5D46D-ACC0-47D8-B80A-5D72300FD54C
->,Q5237863,David Mwaniki Ngugi,Q7530800,Sisi Kwa Sisi->SISI KWA SISI,Q6410379,Kinangop,Q5237863-8B6461B9-8503-425D-B206-68CF97139219
->,Q111189739,David Njuguna Kiburi Mwaura,,NULL->PPK,Q6489334,Lari,Q111189739-ED57D4BE-9812-41DA-87BD-45709D9B031C
->,Q5371996,Emillio Kathuli,Q3272441,Democratic Party->DP,Q6753394,Manyatta,Q5371996-55E921FE-9350-4922-B647-3E3F2623730A
->,Q5382308,Ephraim Mwangi Maina,Q7398791,Safina->SAFINA,Q6787283,Mathira,Q5382308-40C813A5-2F68-4F9C-B507-38DDCD915D38
->,Q5429550,Fahim Yasin Twaha,,NULL->NARC KENYA,Q6482735,Lamu West,Q5429550-6888C725-7536-457E-A8E6-46FAA9366020
->,Q111189740,Francis Bayah,,NULL->KADU ASILI,Q5521558,Ganze,Q111189740-5B6B7884-5C6D-48D3-83AD-D814B8E680AA
->,Q5495634,Fred Kapondi,Q1640905,ODM,Q6930268,Mt. Elgon->Mt Elgon,Q5495634-B5F53445-8B17-4B77-B9C4-228FF6CC494C
->,Q7108730,Gerald Otieno Kajwang,Q1640905,ODM,Q6799698,Suba North->Mbita,Q7108730-079D4C2A-D3D0-45D4-9EA8-A1CCF7B514DD
->,Q5559630,Gideon Ndambuki,Q5251223,WDM-K->ODM K,Q6348628,Kaiti,Q5559630-856A2A94-2197-4CBB-B1CD-0A1440204D0F
->,Q111188237,Hellen Sambili,,NULL->UDM,Q6890697,Mogotio,Q111188237-C0B5A1D5-D4E7-4C2C-824D-97EA2C9DB4AC
->,Q6076813,Issac Mulatya Muoki,Q5251223,WDM-K->ODM K,Q6418636,Kitui South,Q6076813-A3FD7790-0C58-41D5-B855-399C29167976
->,Q111188279,Joel Onyancha,,NULL->FORD P,Q4940343,Bomachoge,Q111188279-4FBCCB42-B622-4326-ACA0-2325F5092F22
->,Q6238091,John Harun Mwau,,NULL->PICK,Q6408123,Kilome,Q6238091-59480617-4593-953a-2a96-69e15e5c6b08
->,Q6250396,John Ngata Kariuki,,NULL->FORD A,Q6415320,Kirinyaga Central,Q6250396-E5550E9C-A3EE-4C20-9BF3-13429F9FD252
->,Q6268381,Johnson Nduya Muthama,Q5251223,WDM-K->ODM K,Q13123144,Kangundo,Q6268381-78D7ADDC-9322-4C61-9AFC-9E135CA0EA25
+++,Q6289987,Joshua Kutuny,Q1640905,ODM,Q5091828,Cherangani,
->,Q6405280,Julius Kiema Kilonzo,Q5251223,WDM-K->ODM K,Q6943975,Kitui East->Mutito,Q6405280-BB8FBEC2-09C5-48D0-8C96-1270E50D8507
->,Q6343844,Kabando wa Kabando,Q7398791,Safina->SAFINA,Q6933680,Mukurweini,Q6343844-6FB53BFB-E882-4514-9A68-40A95C95199A
->,Q1395018,Kalonzo Musyoka,Q5251223,WDM-K->ODM K,Q1722597->Q6944742,Kitui County->Mwingi North,Q1395018-1C860AAC-A76F-452D-92F2-D1CEE0DF93A6
->,Q6377793,Katoo Ole Metito,,NULL->NARC KENYA,Q6348985,Kajiado South->Loitoktok,Q6377793-8648B429-0849-4C76-940C-F86744EC2E1D
->,Q6418830,Kivuti Maxwell,Q7398791,Safina->SAFINA,Q14475849,Mbeere North->Siakago,Q6418830-451411D8-A551-4DE9-BDF1-847A273C3B4F
->,Q6550225,Linah Kilimo,,NULL->KENDA,Q6754698,Marakwet East,Q6550225-A38557F4-65B0-4B26-B01D-53B24F8C664F
---,Q6848880,Mike Sonko,,,Q6738586,Makadara,Q6848880-A058E375-473B-4196-94E7-91E9CD388ED9
---,Q111191375,Mohammed Gabow,,,,,Q111191375-5A2060D7-D62C-4E03-A5C3-75F98080574B
->,Q6893179,Mohammed Kuti,,NULL->NARC KENYA,Q17088189,Isiolo North,Q6893179-1909BE66-FF81-4526-A1B4-21C6CA03FE50
->,Q8001849,Moriasi Wilfred Ombui,Q1422517,KANU,Q7056156,North Mugirango->North Mugirango Borabu,Q8001849-85965C64-68F0-4BB3-AD6F-C15D71C8A1FB
->,Q6943746,Mutava Musyimi,Q2559675,PNU,Q5516225,Mbeere South->Gachoka,Q6943746-777F4419-681D-404F-B690-CF98037AA715
->,Q5079790,Mutavi Charles Kilonzo,Q5251223,WDM-K->ODM K,Q8050290,Yatta,Q5079790-272BD0BE-A4DF-4F81-9A27-B266AF71BD6C
->,Q15993157,Mutula Kilonzo,Q5251223,WDM-K->ODM K,Q6799757,Mbooni,Q15993157-6164270B-CBE2-4BD0-8D00-7B02B2E66D03
->,Q57291,Mwai Kibaki,Q2559675,PNU,Q7108565->Q7108562,Othaya,Q57291-AE2C317E-89C3-45CA-92F9-CFD3414E88A4
->,Q6967675,Nassir Nuh Abdi,Q5251223,WDM-K->ODM K,Q4998065,Bura,Q6967675-968B4EA4-7754-4FE4-97F6-FCD2F9871971
->,Q7042591,Nkoidilla Lankas,Q1640905,ODM,Q6966109,Aam Aadmi Party->Narok South,Q7042591-51C2F31E-63CC-446C-9509-6EFCCB63E36A
->,Q7175181,Peter Kiilu,Q5251223,WDM-K->ODM K,Q6740441,Makueni,Q7175181-66769CA2-B7AB-4707-8CEF-E0FC65AD2F64
->,Q5360552,Peter Mbau Elias,Q2559675,PNU,Q6754641,Maragua->Maragwa,Q5360552-26F2E320-3424-4853-9175-90A8D00303FA
->,Q47494675,Peter Mungai Mwathi,,NULL->FORD P,Q10978796,Limuru,Q47494675-F0CC8DED-2CF2-4705-9B29-29985810332E
->,Q7176115,Peter Njoroge Baiya,Q7398791,Safina->SAFINA,Q5565112,Githunguri,Q7176115-B2181D91-01F4-42F9-BB69-01057DD58662
